Annotated	cTAKES	text	start	end	label
T3	T3	MOTIU D'INGRÉS	414	428	SECCION_MOTIVO_DE_INGRESO
T4	T4	ANTECEDENTS	454	465	SECCION_ANTECEDENTES
T5	T5	ANTECEDENTES PERSONALES	466	489	SECCION_ANTECEDENTES_PERSONALES
T6	T6	Situación funcional previa	568	594	SECCION_SITUACION_FUNCIONAL
T8	T8	ANTECEDNETES PATOLÓGICOS	781	805	SECCION_ANTECEDENTES_PATOLOGICOS
T10	T10	MEDICACIÓ HABITUAL	1907	1925	SECCION_TRATAMIENTO_HABITUAL
T11	T11	PROCÉS ACTUAL	2050	2063	SECCION_PROCESO_ACTUAL
T14	T14	Exploración neurológica inicial	2594	2625	SECCION_EXPLORACION_FISICA
T17	T17	rTPA	3197	3201	_SUG_Trombolisis_intravenosa
T21	T21	EXPLORACIÓ COMPLEMENTÀRIA	4364	4389	SECCION_EXPLORACIONES_COMPLEMENTARIAS
T22	T22	Analítica urgent	4390	4406	SECCION_EXPLORACIONES_COMPLEMENTARIAS_EN_URGENCIAS
T24	T24	Analítica de ingreso	4796	4816	SECCION_EXPLORACIONES_COMPLEMENTARIAS_EN_PLANTA_DE_NEUROLOGIA
T27	T27	TC craneal	5150	5160	_SUG_TAC_craneal
T29	T29	TC	5221	5223	_SUG_TAC_craneal
T32	T32	TC	5923	5925	_SUG_TAC_craneal
T40	T38	EVOLUCIÓ CLÍNICA	8375	8391	SECCION_EVOLUCION
T44	T42	TC craneal	9069	9079	_SUG_TAC_craneal
T49	T47	rTPA	9673	9677	_SUG_Trombolisis_intravenosa
T51	T49	tratamiento fibrinolítico	9804	9829	_SUG_Trombolisis_intravenosa
T54	T52	TAC	10351	10354	_SUG_TAC_craneal
T55	T53	rTPA	10371	10375	_SUG_Trombolisis_intravenosa
T59	T57	DIAGNÒSTICS	11856	11867	SECCION_DIAGNOSTICOS
T64	T62	TRACTAMENT I RECOMANACIONS A L'ALTA	12002	12037	SECCION_TRATAMIENTO_Y_RECOMENDACIONES_AL_ALTA
T66	T64	CONTROL	12217	12224	SECCION_CONTROL
T67	T65	DESTINACIÓ A L'ALTA	12320	12339	SECCION_DESTINO_AL_ALTA
