Annotated	cTAKES	text	start	end	label
T3	T3	MOTIU D'INGRÉS	439	453	SECCION_MOTIVO_DE_INGRESO
T4	T4	ANTECEDENTS	477	488	SECCION_ANTECEDENTES
T6	T6	ANTECEDENTES PATOLÓGICOS	627	651	SECCION_ANTECEDENTES_PATOLOGICOS
T18	T18	MEDICACIÓ HABITUAL	2583	2601	SECCION_TRATAMIENTO_HABITUAL
T20	T20	PROCÉS ACTUAL	3051	3064	SECCION_PROCESO_ACTUAL
T27	T27	EXPLORACIÓ FÍSICA	3680	3697	SECCION_EXPLORACION_FISICA
T31	T31	Evolutiva	5542	5551	SECCION_EVOLUCION
T50	T50	EXPLORACIÓ COMPLEMENTÀRIA	6787	6812	SECCION_EXPLORACIONES_COMPLEMENTARIAS
T56	T56	Analítica ingreso	7922	7939	SECCION_EXPLORACIONES_COMPLEMENTARIAS_EN_PLANTA_DE_NEUROLOGIA
T34	T34	EVOLUCIÓ CLÍNICA	10626	10642	SECCION_EVOLUCION
T69	T69	AL ALTA	15248	15255	SECCION_EXPLORACION_FISICA_AL_ALTA
T72	T72	DIAGNÒSTICS	15354	15365	SECCION_DIAGNOSTICOS
T73	T74	Ictus minor	15368	15379	_SUG_Ataque_isquemico_transitorio
T75	T75	ACM	15383	15386	_SUG_Arteria_afectada
T76	T76	izquierda	15387	15396	_SUG_Lateralizacion
T77	T77	cardioembólico	15397	15411	_SUG_Etiologia
T83	T83	TRACTAMENT I RECOMANACIONS A L'ALTA	15884	15919	SECCION_TRATAMIENTO_Y_RECOMENDACIONES_AL_ALTA
T88	T88	CONTROL	16648	16655	SECCION_CONTROL
T89	T89	DESTINACIÓ A L'ALTA	16691	16710	SECCION_DESTINO_AL_ALTA
