Annotated	cTAKES	text	start	end	label
T3	T3	MOTIU D'INGRÉS	439	453	SECCION_MOTIVO_DE_INGRESO
T4	T4	ANTECEDENTS	477	488	SECCION_ANTECEDENTES
T6	T6	ANTECEDENTES PATOLÓGICOS	627	651	SECCION_ANTECEDENTES_PATOLOGICOS
T18	T18	MEDICACIÓ HABITUAL	2583	2601	SECCION_TRATAMIENTO_HABITUAL
T20	T20	PROCÉS ACTUAL	3051	3064	SECCION_PROCESO_ACTUAL
T27	T27	EXPLORACIÓ FÍSICA	3680	3697	SECCION_EXPLORACION_FISICA
T31	T31	Evolutiva	5542	5551	SECCION_EVOLUCION
T50	T50	EXPLORACIÓ COMPLEMENTÀRIA	6787	6812	SECCION_EXPLORACIONES_COMPLEMENTARIAS
T53	T53	TC craneal	7256	7266	_SUG_TAC_craneal
T56	T56	Analítica ingreso	7922	7939	SECCION_EXPLORACIONES_COMPLEMENTARIAS_EN_PLANTA_DE_NEUROLOGIA
T64	T64	TC craneal	9885	9895	_SUG_TAC_craneal
T66	T66	TC	10147	10149	_SUG_TAC_craneal
T67	T67	TC	10218	10220	_SUG_TAC_craneal
T34	T34	EVOLUCIÓ CLÍNICA	10626	10642	SECCION_EVOLUCION
T40	T40	TC craneal	11868	11878	_SUG_TAC_craneal
T41	T41	tratamiento fibrinolítico	12411	12436	_SUG_Trombolisis_intravenosa
T46	T46	TC craneal	14135	14145	_SUG_TAC_craneal
T69	T69	AL ALTA	15248	15255	SECCION_EXPLORACION_FISICA_AL_ALTA
T72	T72	DIAGNÒSTICS	15354	15365	SECCION_DIAGNOSTICOS
T83	T83	TRACTAMENT I RECOMANACIONS A L'ALTA	15884	15919	SECCION_TRATAMIENTO_Y_RECOMENDACIONES_AL_ALTA
T88	T88	CONTROL	16648	16655	SECCION_CONTROL
T89	T89	DESTINACIÓ A L'ALTA	16691	16710	SECCION_DESTINO_AL_ALTA
